Condition,Dew_Point,Humidity,Precip,Pressure,Temperature,Time,Wind,Wind_Gust,Wind_Speed
Partly Cloudy,77,94,0.0,29.76,79,12:00 AM,NW,0,2
Partly Cloudy,77,94,0.0,29.73,79,12:30 AM,NNW,0,1
Partly Cloudy,79,100,0.0,29.73,79,1:00 AM,NW,0,1
Partly Cloudy,79,100,0.0,29.70,79,1:30 AM,CALM,0,0
Partly Cloudy,77,94,0.0,29.70,79,2:00 AM,NE,0,2
Partly Cloudy,77,94,0.0,29.70,79,2:30 AM,NE,0,2
Partly Cloudy,77,94,0.0,29.70,79,3:00 AM,NE,0,3
Partly Cloudy,77,94,0.0,29.67,79,3:30 AM,NE,0,2
Partly Cloudy,77,94,0.0,29.67,79,4:00 AM,NE,0,3
Partly Cloudy,77,100,0.0,29.67,77,4:30 AM,VAR,0,2
Partly Cloudy,77,100,0.0,29.67,77,5:00 AM,NE,0,2
Fair,77,100,0.0,29.70,77,5:30 AM,E,0,3
Fair,77,94,0.0,29.70,79,6:30 AM,VAR,0,2
Fair,79,94,0.0,29.73,81,7:00 AM,VAR,0,2
Fair,79,89,0.0,29.73,82,7:30 AM,CALM,0,0
Fair,79,84,0.0,29.76,84,8:00 AM,CALM,0,0
Partly Cloudy,81,89,0.0,29.76,84,8:30 AM,WNW,0,1
Mostly Cloudy,79,79,0.0,29.76,86,9:00 AM,VAR,0,1
Mostly Cloudy,79,79,0.0,29.76,86,9:30 AM,VAR,0,1
Mostly Cloudy,79,75,0.0,29.76,88,10:00 AM,WNW,0,1
Mostly Cloudy,77,70,0.0,29.73,88,10:30 AM,VAR,0,2
Mostly Cloudy,77,66,0.0,29.73,90,11:00 AM,VAR,0,3
Mostly Cloudy,77,66,0.0,29.73,90,11:30 AM,SSW,0,2
Mostly Cloudy,75,59,0.0,29.70,91,12:00 PM,VAR,0,1
Mostly Cloudy,77,66,0.0,29.70,90,12:30 PM,VAR,0,1
Mostly Cloudy,77,70,0.0,29.67,88,1:00 PM,W,0,8
Thunder,77,74,0.0,29.67,86,1:30 PM,WNW,0,8
Light Rain with Thunder,77,79,0.0,29.67,84,2:00 PM,N,0,7
Partly Cloudy,79,84,0.0,29.64,84,2:30 PM,NNW,0,6
Partly Cloudy,79,70,0.0,29.64,90,3:00 PM,NNW,0,5
Partly Cloudy,77,63,0.0,29.64,91,3:30 PM,VAR,0,3
Light Rain Shower,75,56,0.0,29.64,93,4:00 PM,VAR,0,1
Rain Shower,79,89,0.0,29.67,82,4:30 PM,SSW,0,12
T-Storm,77,94,0.0,29.67,79,5:00 PM,W,0,10
Light Rain with Thunder,75,89,0.0,29.67,79,5:30 PM,NNW,0,6
Light Rain,77,94,0.0,29.67,79,6:00 PM,ENE,0,2
Light Rain,77,94,0.0,29.70,79,6:30 PM,VAR,0,2
Mostly Cloudy,79,94,0.0,29.70,81,7:00 PM,VAR,0,3
Mostly Cloudy,79,94,0.0,29.73,81,7:30 PM,SW,0,6
Mostly Cloudy,79,94,0.0,29.76,81,8:00 PM,VAR,0,3
Mostly Cloudy,79,94,0.0,29.76,81,8:30 PM,VAR,0,3
Mostly Cloudy,79,94,0.0,29.79,81,9:00 PM,W,0,5
Mostly Cloudy,79,94,0.0,29.79,81,9:30 PM,WNW,0,1
Mostly Cloudy,79,94,0.0,29.79,81,10:00 PM,NNW,0,1
Mostly Cloudy,81,100,0.0,29.79,81,10:30 PM,NW,0,3
Mostly Cloudy,79,94,0.0,29.79,81,11:00 PM,NNW,0,2
Mostly Cloudy,79,94,0.0,29.79,81,11:30 PM,NW,0,2
